"","Código.IBGE","Diretoria.Regional","Mesorregião","Microrregião","Município","Número.de.pessoas.no.CadÚnico.com.renda.inferior.a.meio.salário.mínimo.per.capita","Número.de.famílias","Famílias.em.domicílios.com.alta.densidade.de.dormitorios","%.de.domicílios.com.alta.densidade.de.dormitorios","Famílias.em.domicílios.com.material.inadequado.das.paredes","%.de.domicílios.com.material.inadequado.das.paredes","Famílias.em.domicílios.sem.água.encanada","%.de.domicílios.sem.água.encanada","Famílias.sem.escoamento.sanitário.adequado.ou.banheiro","%.de.domicílios.sem.escoamento.sanitário.adequado.ou.banheiro","Famílias.em.domicílios.sem.energia.elétrica","%.de.domicílios.sem.energia.elétrica","Famílas.com.responsabilidade.uniparental","%.de.famílas.com.responsabilidade.uniparental","Número.de.crianças.e.adolescentes","Proporção.de.crianças.e.adolescentes","Número.de.pessoas.com.deficiência","Proporção.de.pessoas.com.deficiência","Número.de.idosos","Proporção.de.idosos","Famílias.com.trabalho.infantil","%.de.famílias.com.trabalho.infantil","Famílias.com.responsável.analfabeto","%.de.famílias.com.responsável.analfabeto","Número.de.pessoas.com.idade.a.partir.de.30.sem.ensino.fundamental.completo","%.de.pessoas.com.idade.a.partir.de.30.sem.ensino.fundamental.completo","Número.de.jovens.a.partir.de.18.anos.que.não.estudam.e.não.concluíram.o.E.M.","%.de.jovens.a.partir.de.18.anos.que.estudam.e.não.concluíram.o.E.M.","Número.de.crianças.e.adolescentes.(6-17).fora.da.escola","Proporção.de.crianças.e.adolescentes.(6-17).fora.da.escola","Número.de.crianças.e.adolescentes.(6-17).em.defasagem.escolar","Proporção.de.crianças.e.adolescentes.(6-17).em.defasagem.escolar","Número.de.pessoas.em.idade.ativa.que.não.trabalha","Proporção.de.pessoas.em.idade.ativa.que.não.trabalha","Número.de.empregados.sem.carteira.assinada","Proporção.de.empregados.sem.carteira.assinada","Famílias.extremamente.pobres","%.de.famílias.extremamente.pobres","Tipologia.Rural/Urbana","IDHM.2010","População.Estimada.2018","População.Estimada.2019"
"1",3100104,"Uberlândia","Triângulo Mineiro/Alto Paranaíba","Patrocínio","Abadia dos Dourados",1596,565,10,0.0176991150442478,25,0.0442477876106195,4,0.00707964601769911,124,0.219469026548673,6,0.0106194690265487,188,0.332743362831858,624,0.390977443609023,120,0.075187969924812,31,0.0194235588972431,0,0,30,0.0530973451327434,296,0.414565826330532,124,0.48062015503876,12,0.0273348519362187,3,0.00683371298405467,708,0.64775846294602,65,0.408805031446541,258,0.456637168141593,"Rural Adjacente",0.689,6972,6989
"2",3100203,"Divinópolis","Central Mineira","Três Marias","Abaeté",5364,1656,40,0.0241545893719807,6,0.0036231884057971,21,0.0126811594202899,98,0.0591787439613527,2,0.00120772946859903,574,0.346618357487923,2230,0.415734526472782,286,0.0533184190902312,185,0.0344891871737509,0,0,96,0.0579710144927536,994,0.449570330167345,567,0.614301191765981,67,0.0445478723404255,21,0.0139627659574468,2183,0.630560369728481,164,0.315384615384615,273,0.164855072463768,"Urbano",0.698,23223,23237
"3",3100302,"Timóteo","Zona da Mata","Manhuaçu","Abre Campo",2321,688,17,0.0247093023255814,3,0.00436046511627907,66,0.0959302325581395,235,0.34156976744186,5,0.00726744186046512,109,0.15843023255814,819,0.352865144334339,118,0.0508401551055579,54,0.023265833692374,0,0,42,0.061046511627907,434,0.385435168738899,176,0.468085106382979,40,0.062015503875969,1,0.00155038759689922,1253,0.729761211415259,247,0.746223564954683,368,0.534883720930233,"Rural Adjacente",0.654,13465,13454
"4",3100401,"Timóteo","Zona da Mata","Ponte Nova","Acaiaca",1345,463,20,0.0431965442764579,4,0.00863930885529158,58,0.125269978401728,93,0.200863930885529,17,0.0367170626349892,124,0.267818574514039,438,0.325650557620818,39,0.028996282527881,30,0.0223048327137546,0,0,44,0.0950323974082073,279,0.440758293838863,77,0.281021897810219,9,0.0272727272727273,5,0.0151515151515152,839,0.834825870646766,27,0.234782608695652,309,0.667386609071274,"Rural Adjacente",0.63,3994,3994
"5",3100500,"Governador Valadares","Vale do Rio Doce","Ipatinga","Açucena",4402,1323,49,0.037037037037037,11,0.00831443688586546,233,0.176114890400605,469,0.354497354497354,52,0.0393046107331822,314,0.237339380196523,1745,0.39641072239891,100,0.0227169468423444,76,0.0172648796001817,0,0,84,0.0634920634920635,833,0.461495844875346,370,0.434272300469484,70,0.0582362728785358,29,0.024126455906822,2269,0.750330687830688,396,0.748582230623819,767,0.579743008314437,"Rural Adjacente",0.61,9575,9470
"6",3100609,"Teófilo Otoni","Vale do Rio Doce","Peçanha","Água Boa",8522,2744,110,0.0400874635568513,449,0.163629737609329,627,0.228498542274052,509,0.185495626822157,45,0.016399416909621,1214,0.442419825072886,3814,0.447547524055386,273,0.0320347336306031,56,0.00657122741140577,3,0.0010932944606414,432,0.157434402332362,1292,0.451590353023418,942,0.510016242555495,83,0.031203007518797,27,0.0101503759398496,4683,0.826509001058948,686,0.83252427184466,2248,0.819241982507289,"Rural Adjacente",0.576,13600,13735
"7",3100708,"Uberaba","Triângulo Mineiro/Alto Paranaíba","Uberaba","Água Comprida",627,238,8,0.0336134453781513,0,0,0,0,46,0.19327731092437,0,0,118,0.495798319327731,274,0.437001594896332,24,0.0382775119617225,10,0.0159489633173844,0,0,27,0.113445378151261,99,0.456221198156682,68,0.5,3,0.0188679245283019,1,0.00628930817610063,308,0.766169154228856,16,0.326530612244898,181,0.760504201680672,"Rural Adjacente",0.675,2005,1999
"8",3100807,"Divinópolis","Oeste de Minas","Campo Belo","Aguanil",1603,522,20,0.0383141762452107,2,0.00383141762452107,42,0.0804597701149425,58,0.111111111111111,1,0.00191570881226054,128,0.245210727969349,606,0.378041172800998,46,0.0286961946350593,23,0.0143480973175296,0,0,43,0.0823754789272031,267,0.386396526772793,126,0.411764705882353,14,0.0343980343980344,4,0.00982800982800983,724,0.64816472694718,85,0.379464285714286,214,0.409961685823755,"Rural Adjacente",0.663,4448,4486
"9",3100906,"Teófilo Otoni","Vale do Mucuri","Nanuque","Águas Formosas",10857,3617,202,0.0558473873375726,67,0.0185236383743434,161,0.0445120265413326,611,0.16892452308543,430,0.118883052253249,999,0.276195742327896,4256,0.392005157962605,403,0.037118909459335,232,0.021368702219766,0,0,453,0.125241913187725,1646,0.382257315373897,1087,0.47363834422658,143,0.0500349895031491,14,0.00489853044086774,5446,0.734259134420925,788,0.730983302411874,2614,0.722698368813934,"Intermediário Adjacente",0.645,19166,19207
"10",3101003,"Salinas","Norte de Minas","Salinas","Águas Vermelhas",7076,2204,72,0.0326678765880218,210,0.0952813067150635,206,0.0934664246823956,526,0.238656987295826,68,0.0308529945553539,597,0.270871143375681,2848,0.402487280949689,218,0.030808366308649,87,0.0122950819672131,12,0.00544464609800363,297,0.13475499092559,1302,0.461374911410347,656,0.466571834992888,61,0.0303936223218734,12,0.00597907324364723,3897,0.79971270264724,478,0.697810218978102,1713,0.777223230490018,"Rural Adjacente",0.601,13477,13539
